,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
TINF2,0.0435691755274608,3.05085359938888,0.056100586389637,0.956513425903774,0.999969548839946,-5.65756263721488,TINF2
TIPARP,0.330522118976015,4.34225827894654,1.04936306860358,0.321945192037598,0.891917824452902,-5.43240709242243,TIPARP
TIPIN,-0.319412219796288,4.18965597553762,-1.23523940344726,0.248669294860508,0.845366238531803,-5.04863597613857,TIPIN
TIPRL,0.150572692951924,5.41500918218619,0.556595428580245,0.591659851223097,0.996141074883198,-6.15218056954805,TIPRL
TIRAP,0.112683146710891,0.92984185496924,0.153071409368258,0.881790676040342,0.999969548839946,-5.77548556384785,TIRAP
TJAP1,-0.0278859063802024,4.92035832201106,-0.110393863056148,0.914570993227713,0.999969548839946,-6.1553796683287,TJAP1
TJP1,0.298886726140291,6.20771097438837,1.92582676275912,0.0869490942163047,0.641687042418081,-4.70625196305432,TJP1
TJP2,0.370303099650114,4.74339846191805,1.07053384413394,0.312831337280239,0.886270518337661,-5.53495888661914,TJP2
TK1,-0.0141685466355561,5.33462080908281,-0.06240825689648,0.951630717644053,0.999969548839946,-6.17954258125716,TK1
TK2,-0.592405498285602,1.91312024469206,-0.494619967489775,0.632968354948626,0.996391562030057,-5.38654781637882,TK2
TKFC,-0.493726208413816,3.18721414114387,-0.618312261880419,0.552018134558983,0.989078428655211,-5.3817263151482,TKFC
TKT,-0.612339682802404,7.1485205278441,-1.97092450885126,0.0809148997639996,0.630799344221036,-4.82917745147264,TKT
TLCD1,-0.189103013959643,1.27317918245364,-0.219372725705385,0.831358156424501,0.999969548839946,-5.51650743453152,TLCD1
TLCD2,0.697805610404457,2.75026891037372,3.12228949963264,0.012595097123894,0.379141964168731,-2.64438547141436,TLCD2
TLCD3A,-0.277103396285245,5.14786980282202,-1.13595961597055,0.285931309499732,0.866529122241228,-5.64698624897922,TLCD3A
TLCD4,0.61331627800173,3.56253859564946,0.849050204730099,0.418327433300196,0.944203386106085,-5.45285694503801,TLCD4
TLCD5,0.119845561734604,2.47027137394974,0.165152183282312,0.872551768634245,0.999969548839946,-5.66118233801856,TLCD5
TLE1,-0.972680808404653,5.05151200328537,-2.95774184080286,0.0163898299025192,0.41767440173965,-2.9174100370522,TLE1
TLE2,-0.118973319109021,2.2402085772658,-0.136123693262141,0.894783314003041,0.999969548839946,-5.60162968770656,TLE2
TLE3,-0.140878012979332,6.90435798382579,-0.693016643130364,0.50615661895415,0.97631634337768,-6.3453368706123,TLE3
TLE4,0.257667915970021,4.15881002547326,0.818005228779928,0.434920745453226,0.95270924504401,-5.65415274787338,TLE4
TLE5,-0.657806264955847,5.58981624035608,-2.5578109059659,0.0313054710511031,0.500451386854678,-3.75738568550809,TLE5
TLE6,0.110751164684519,0.596764138598581,0.201050063566158,0.845224616533669,0.999969548839946,-5.95939562478614,TLE6
TLK1,0.280926543098827,4.38077843403403,0.764931799796503,0.464309626048348,0.962904673849222,-5.66056671551956,TLK1
TLK2,-0.309800362984517,3.71250308126731,-0.464884586769606,0.653290279942575,0.996391562030057,-5.71127102713922,TLK2
TLL2,-0.254733665112276,0.245007118898516,-1.05729088630831,0.31850866674053,0.889668304759676,-5.42432400311086,TLL2
TLN1,-0.41833367583344,6.96831246259105,-2.19255692393687,0.0566487844486052,0.571670864078205,-4.4900235173758,TLN1
TLN2,0.0509207080427339,2.46985112919093,0.0538554119039446,0.958251869670466,0.999969548839946,-5.49330345598996,TLN2
TLNRD1,-0.681257432412894,5.65905527210412,-3.06924222876126,0.0137077565742374,0.394951239418537,-2.868161648259,TLNRD1
TLR6,0.419894416668708,0.187108385707974,1.85331478339324,0.0975529759480361,0.665499503155078,-4.50751765397676,TLR6
TLX1,-0.29559593855162,3.37765482241854,-0.897137200594303,0.393502434882004,0.93489408603692,-5.21948483744133,TLX1
TLX3,-0.0111834429589909,0.814683306762605,-0.0159108231929563,0.987660043715252,1,-5.92149078153106,TLX3
TM2D1,0.292480036502633,3.06746891229037,1.07618062743635,0.310434500200839,0.884600613306381,-5.26864102411085,TM2D1
TM2D2,-0.0729929276880781,3.72227443754358,-0.11725621294021,0.909286749386068,0.999969548839946,-5.87943550084685,TM2D2
TM2D3,-0.073012656653928,4.98452052944711,-0.280047062401691,0.785905974193881,0.998645782309963,-6.25899418566265,TM2D3
TM7SF2,0.311308801304385,1.71837927800953,0.495932918566176,0.63207835861783,0.996391562030057,-5.40968662753918,TM7SF2
TM7SF3,0.113159476445702,4.21887502142453,0.225624750828888,0.826640519090703,0.999969548839946,-6.13803480826507,TM7SF3
TM9SF1,-0.246937728493472,4.77021435008808,-0.980706910518235,0.352900986872469,0.913808198250478,-5.58310287997834,TM9SF1
TM9SF2,0.181283138869464,5.82152832925155,1.07603460614787,0.310496300360306,0.884600613306381,-5.76874169681258,TM9SF2
TM9SF3,0.111484090489275,7.11020471834395,0.711262642938251,0.495321917363424,0.973405504985003,-6.45083468385943,TM9SF3
TM9SF4,-0.268448504048001,5.58129001914869,-1.51572417528923,0.164616526702978,0.758978267908464,-5.21028496101145,TM9SF4
TMA16,0.60074331534092,4.04122069194153,1.38509898486352,0.200087850078486,0.794437512965353,-4.98452855654417,TMA16
TMA7,0.0827748948429647,4.27243967173991,0.197848226929239,0.847653705022476,0.999969548839946,-6.12791550059899,TMA7
TMBIM1,-0.351309048633315,4.70766529118662,-1.14443002444152,0.282586751430128,0.865162449928283,-5.37675207067518,TMBIM1
TMBIM4,0.57742578312317,4.09175439440826,0.893431490365863,0.395377518555831,0.936212385900525,-5.58584670718744,TMBIM4
TMBIM6,0.140586163256662,8.18508013600423,1.19980938775518,0.261485132312417,0.853705906218515,-6.2225457785532,TMBIM6
TMC4,-0.377669033468694,1.10655781781181,-0.479324178648113,0.643382608903415,0.996391562030057,-5.50200778955139,TMC4
TMC5,-0.0242366896640299,1.12075906885976,-0.0582509610462925,0.954848614234157,0.999969548839946,-5.88247740560119,TMC5
TMC6,-0.414089152399617,2.81196656457282,-0.425701225656333,0.680536573625378,0.997436215010357,-5.42490554873857,TMC6
TMC7,-0.0964014394146983,1.09034451165561,-0.11835453227845,0.908441437567985,0.999969548839946,-5.66670079618888,TMC7
TMCC1,0.259759974255639,2.87797313543933,0.271720735848713,0.792097091027065,0.998645782309963,-5.68227737365946,TMCC1
TMCC1-AS1,0.102975016575211,0.356284373570316,0.444247947614787,0.667575554622452,0.997024809135366,-5.78488801687922,TMCC1-AS1
TMCC2,0.0124382483172836,2.29331644398262,0.00973432719195766,0.992450126458731,1,-5.50801510329441,TMCC2
TMCC3,0.442958220192743,2.84649833319359,0.456456517128083,0.659106801325852,0.996391562030057,-5.43044582645062,TMCC3
TMCO1,0.437460426227899,5.85871151000052,3.08665193052392,0.0133317947218532,0.388880739427941,-2.98913787184104,TMCO1
TMCO1-AS1,-0.663868561874803,-0.0135623006573599,-2.44634288579297,0.0375253119163189,0.509549630577024,-3.77954916797296,TMCO1-AS1
TMCO3,-0.184108022958813,4.39529588272722,-0.385465923046609,0.709034631653489,0.998046579510442,-6.07326915209918,TMCO3
TMCO4,0.30639671407016,1.11292408453526,0.385842968205738,0.708765247113228,0.998046579510442,-5.56275699822707,TMCO4
TMCO6,-0.631614437094628,2.97474513292876,-1.343562804248,0.212670703100073,0.809294385023755,-4.76730700347454,TMCO6
TMED1,-0.534779127277019,3.53365538607699,-0.814167606609898,0.43700266740227,0.953400545536588,-5.48062136265334,TMED1
TMED10,0.57998143764687,5.28912500330849,1.99776874774481,0.0775147539190445,0.622853327165094,-4.63144630986769,TMED10
TMED10P1,0.325776805590995,3.75797377244915,0.564286786637415,0.586636201718627,0.995709083584026,-5.79387213622732,TMED10P1
TMED2,-0.0329545941382579,7.08458903149336,-0.196942509778462,0.848341142383801,0.999969548839946,-6.69912192625399,TMED2
TMED2-DT,-0.307198806049257,0.121366022809502,-1.67868778718834,0.128250747979461,0.710056494107463,-4.79175441284493,TMED2-DT
TMED3,-0.217334407187188,5.66525639307073,-1.16298806979267,0.275368243620578,0.861127210312757,-5.57865643487632,TMED3
TMED4,0.200255789773761,6.45010840355463,1.2057665430863,0.259293364389127,0.852129453092205,-5.84298838891594,TMED4
TMED5,0.962665796892293,5.57472783792739,4.39753678110318,0.001818003296852,0.190409502311311,-0.954167337073711,TMED5
TMED7,0.416719404988416,3.18517171569308,0.85946171730177,0.412861914188282,0.94329818099355,-5.67297679954637,TMED7
TMED8,0.524597760408863,5.16888641790609,2.25019079073684,0.0516016119912589,0.557818957191879,-4.17250149803195,TMED8
TMED9,-0.57840178852513,6.02110662189258,-2.23983079951671,0.0524751784459423,0.559127976830048,-4.38530407004042,TMED9
TMEFF1,-0.591453475443164,1.14827353445769,-0.893072807640756,0.395559348483966,0.936212385900525,-5.49392221489793,TMEFF1
TMEM100,0.159969068577837,0.780342451743695,0.278011035767242,0.787418427018976,0.998645782309963,-5.67059201017145,TMEM100
TMEM101,-0.523998220775002,4.65966160981027,-1.41408715653397,0.191689537828136,0.786419537401561,-5.33669483105318,TMEM101
TMEM102,-0.598644903863024,2.08599800962582,-1.11452248593164,0.294536375484117,0.872837031061366,-5.02128540547355,TMEM102
TMEM104,-0.517673328798394,3.40886958574395,-0.727255927166506,0.485945802920567,0.969080924248313,-5.51702195782745,TMEM104
TMEM106B,0.532387577367664,3.90430560664683,0.901249061950114,0.391429270901634,0.93489408603692,-5.61894227274519,TMEM106B
TMEM106C,-0.0489529519075065,5.47864672036082,-0.346089777150952,0.737396943652504,0.998645782309963,-6.29695633770915,TMEM106C
TMEM107,-1.11969649184087,2.51978094762913,-1.18485171467455,0.267054810041007,0.855836105098649,-4.92618937676379,TMEM107
TMEM108,-0.122734759386278,0.278767561090487,-0.433951786977089,0.674756761961679,0.997024809135366,-5.84785809684831,TMEM108
TMEM109,-0.467296316504861,5.03324679887797,-1.30662933752515,0.224417856802937,0.81972871948461,-5.35243873304615,TMEM109
TMEM11,-0.308400732527777,4.82222048946716,-1.55161174411775,0.15589641246939,0.747219900811527,-5.08151011708929,TMEM11
TMEM115,-1.0804959009645,4.67434800874164,-3.83834815835933,0.00413836397540984,0.272626904426921,-1.6843611123919,TMEM115
TMEM116,-0.105002964217338,1.27060014700605,-0.108357604322679,0.9161398510521,0.999969548839946,-5.72253809155141,TMEM116
TMEM117,-0.0383678963897638,1.81429005799112,-0.0720165181794473,0.944197235657767,0.999969548839946,-5.5546787538001,TMEM117
TMEM120A,-0.279218841597522,1.41238602180065,-0.299111807299188,0.771790819150849,0.998645782309963,-5.48597723521277,TMEM120A
TMEM120B,-0.140473404945589,4.26575190805911,-0.282266006803783,0.784258725533932,0.998645782309963,-6.09179777492692,TMEM120B
TMEM121,-0.11504068974662,1.2447662859928,-0.121602668394174,0.905942257226223,0.999969548839946,-5.78667332767844,TMEM121
